gx,gy,gz,ax,ay,az,target
0.369618321,-3.410076336,-2.196564885,-0.735888062,0.158034668,-0.636716919,0
1.942137405,-3.46351145,0.062977099,-0.755419312,0.134108887,-0.626463013,0
1.262748092,-2.318473282,-2.04389313,-0.737108765,0.157790527,-0.627927856,0
0.140610687,-3.593282443,-1.395038168,-0.741991577,0.155593262,-0.607664185,0
0.865801527,-3.013129771,-0.25,-0.733202515,0.151442871,-0.611814575,0
1.02610687,-2.448244275,-0.341603053,-0.75078064,0.157302246,-0.633543091,0
0.942137405,-2.661984733,-0.471374046,-0.745897827,0.166091309,-0.610593872,0
0.514656489,-2.371908397,-0.333969466,-0.73930603,0.16267334,-0.6215802,0
1.514656489,0.040305344,-0.486641221,-0.734667358,0.161208496,-0.631834106,0
-0.531145038,-0.471145038,-1.959923664,-0.741015015,0.161940918,-0.620847778,0
-1.073129771,-1.142900763,-2.555343511,-0.738817749,0.17072998,-0.626707153,0
-4.821221374,-0.05129771,-6.868320611,-0.740770874,0.161208496,-0.616453247,0
0.087175573,-1.585648855,-4.005725191,-0.737841187,0.13923584,-0.641843872,0
6.247480916,-2.471145038,3.582061069,-0.73124939,0.147780762,-0.66430481,0
5.018473282,0.353282443,3.589694656,-0.734911499,0.15901123,-0.629636841,0
2.850534351,-1.410076336,0.452290076,-0.733690796,0.177810059,-0.64892395,0
0.965038168,-2.593282443,-1.486641221,-0.725145874,0.161940918,-0.641355591,0
1.621526718,-1.570381679,-0.311068702,-0.732958374,0.136306152,-0.644285278,0
0.690229008,-2.081832061,-1.395038168,-0.730761108,0.153884277,-0.559812622,0
1.980305344,-2.898625954,1.795801527,-0.728075562,0.179030762,-0.642576294,0
1.720763359,-2.310839695,-1.517175573,-0.72758728,0.151931152,-0.649412231,0
3.949770992,-2.287938931,-1.395038168,-0.737841187,0.140944824,-0.640623169,0
2.552824427,-0.723053435,-1.417938931,-0.729296265,0.163161621,-0.648191528,0
0.285648855,-1.486412214,-2.616412214,-0.732470093,0.15486084,-0.655759888,0
2.339083969,-1.295572519,-3.089694656,-0.718798218,0.132399902,-0.643552856,0
2.720763359,-1.593282443,-1.395038168,-0.737352905,0.134353027,-0.67236145,0
-1.256335878,-0.05129771,-4.188931298,-0.720507202,0.184645996,-0.670164185,0
-3.783053435,0.22351145,-4.349236641,-0.73515564,0.125319824,-0.666257935,0
1.010839695,0.582290076,-0.219465649,-0.731737671,0.128249512,-0.671873169,0
-2.187633588,0.971603053,-2.227099237,-0.718065796,0.145583496,-0.675779419,0
-0.332671756,1.124274809,0.398854962,-0.722704468,0.130690918,-0.641599731,0
0.95740458,-4.417709924,-0.830152672,-0.710253296,0.14338623,-0.713865356,0
2.499389313,0.002137405,3.948473282,-0.722704468,0.160231934,-0.680906372,0
-1.370839695,-2.890992366,-2.036259542,-0.713915405,0.154616699,-0.681638794,0
2.568091603,-4.967328244,1.131679389,-0.719042358,0.132888184,-0.680418091,0
2.835267176,-2.280305344,2.910305344,-0.705370483,0.162429199,-0.676511841,0
1.499389313,-3.684885496,0.017175573,-0.714403687,0.167312012,-0.657224731,0
0.598625954,-2.265038168,-1.562977099,-0.705370483,0.158034668,-0.666013794,0
3.82,-2.753587786,0.192748092,-0.723925171,0.149489746,-0.661130981,0
1.926870229,-4.715419847,-0.471374046,-0.720507202,0.147780762,-0.643064575,0
1.148244275,-5.807022901,-0.326335878,-0.724413452,0.144606934,-0.641599731,0
1.720763359,-3.081832061,-2.097328244,-0.72758728,0.161696777,-0.66430481,0
-0.241068702,-3.066564885,-2.692748092,-0.720018921,0.160476074,-0.634519653,0
0.400152672,-2.890992366,-2.822519084,-0.736132202,0.13923584,-0.660154419,0
0.697862595,-6.585648855,-1.410305344,-0.736376343,0.156813965,-0.637693481,0
2.842900763,-1.929160305,-0.059160305,-0.724169312,0.141921387,-0.65258606,0
3.071908397,-1.860458015,0.895038168,-0.726366577,0.161940918,-0.644041138,0
2.079541985,-2.25740458,-0.333969466,-0.726366577,0.153151855,-0.646238403,0
2.16351145,-2.341374046,-0.860687023,-0.720263062,0.153151855,-0.656248169,0
0.736030534,-2.135267176,-1.280534351,-0.722704468,0.158278809,-0.635252075,0
1.216946565,-1.578015267,-1.417938931,-0.726122437,0.149001465,-0.655271606,0
1.300916031,-1.402442748,-1.211832061,-0.713182983,0.154616699,-0.66430481,0
0.323816794,-1.39480916,-1.776717557,-0.722460327,0.154128418,-0.64477356,0
0.102442748,-2.486412214,-3.211832061,-0.715136108,0.156569824,-0.656980591,0
